"PLAN","Levy","Application ID","Decision","Application Description","Short Description","locality","AssessedBy","DeterminedBy","ApprovalDate","ApprovalYear","Property_No","Purpose","BALANCE","LEVIED","PAID"
"S94-01","S94-01 - Structured Open Space","DA02/0747","Approved","detached dual occupancy","detached dual occupancy","BANORA POINT","DevUnit",,,2002,"5308","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0797","Approved","erection of an attached dual occupancy","erection of an attached dual occupancy","TWEED HEADS SOUTH","DevUnit",,,2002,"5412","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0799","Approved","erection of an attached dual occupancy","erection of an attached dual occupancy","TWEED HEADS SOUTH","DevUnit",,,2002,"5414","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0803","Approved","erection of an attached dual occupancy","erection of an attached dual occupancy","TWEED HEADS SOUTH","DevUnit",,,2002,"5411","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0808","Approved","the erection of an attached dual occupancy","the erection of an attached dual occupancy","TWEED HEADS SOUTH","DevUnit",,,2002,"5413","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0809","Approved","the erection of an attached dual occupancy","the erection of an attached dual occupancy","TWEED HEADS SOUTH","DevUnit",,,2002,"5409","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0810","Approved","the erection of an attached dual occupancy","the erection of an attached dual occupancy","TWEED HEADS SOUTH","DevUnit",,,2002,"5410","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0901","Approved","attached dual occupancy","attached dual occupancy","BANORA POINT","DevUnit",,,2002,"3708","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0933","Approved","dual occupancy","dual occupancy","BANORA POINT","DevUnit",,,2002,"5321","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0934","Approved","dual occupancy","dual occupancy","BANORA POINT","DevUnit",,,2002,"5322","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/1098","Approved","attached dual occupancy","attached dual occupancy","TWEED HEADS SOUTH","DevUnit",,,2002,"5453","Open Space","0","2407","2407"
